fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000013876_577922.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000038772_571422.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000040894_1397843.jpg', 0) class:chair
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000076674_578248.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000085568_579134.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000086835_573395.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000102858_575862.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000120831_571620.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000145284_573923.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000200234_1391263.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000210988_575507.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000216051_573044.jpg', 0) class:horse
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000217009_576825.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000221666_575748.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000227463_574593.jpg', 0) class:suitcase
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000231471_572591.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000240655_577288.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000249524_576342.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000252986_576296.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000257236_576200.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000259555_572441.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000284043_1810549.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000308194_574109.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000348991_573004.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000371395_577150.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000393982_576771.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000395749_579100.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000412807_2173558.jpg', 0) class:cat
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000417596_574768.jpg', 0) class:skis
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000424258_576098.jpg', 0) class:dining table
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000425472_576379.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000459801_579254.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000488154_579129.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000489248_574753.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000500559_571650.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000542910_572533.jpg', 0) class:chair
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000545363_576705.jpg', 0) class:bench
fname: ('/data/suparna/workspace/Few_shot_detection/data/coco_crops_zero_shot/test/bench/000000581180_575502.jpg', 0) class:bench
